,ID,Host Since,property_type,city_orig,state_orig,country_code,Country,Latitude,Longitude,postal_code,Geolocation,host_since_year,City,State,zip_latitude,zip_longitude
100,778012,2012-11-09,Bed & Breakfast,Rome,Lazio,IT,Italy,41.89454452392576,12.473096577332544,00186,"41.89454452392576, 12.473096577332544",2012.0,Roma,Lazio,41.8919,12.5113
101,16655633,2017-01-06,Apartment,Paris,Île-de-France,FR,France,48.88661590004459,2.3477474752044025,75018,"48.886615900044596, 2.3477474752044025",2017.0,Paris 18,Île-de-France,48.8925,2.3444
102,16655633,2017-01-06,Apartment,Paris,Île-de-France,FR,France,48.88661590004459,2.3477474752044025,75018,"48.886615900044596, 2.3477474752044025",2017.0,Paris,Île-de-France,48.8534,2.3488
103,229501,2011-09-18,Apartment,Paris,Île-de-France,FR,France,48.882843831153906,2.3384291680555584,75018,"48.882843831153906, 2.3384291680555584",2011.0,Paris 18,Île-de-France,48.8925,2.3444
104,15157692,2010-11-16,Apartment,Paris,Île-de-France,FR,France,48.88256740848245,2.3383622492705256,75018,"48.882567408482444, 2.3383622492705256",2010.0,Paris 18,Île-de-France,48.8925,2.3444
105,15157692,2010-11-16,Apartment,Paris,Île-de-France,FR,France,48.88256740848245,2.3383622492705256,75018,"48.882567408482444, 2.3383622492705256",2010.0,Paris,Île-de-France,48.8534,2.3488
106,11218117,2016-02-12,House,Paris,Île-de-France,FR,France,48.87394506737373,2.3811542987192067,75019,"48.87394506737373, 2.3811542987192067",2016.0,Paris,Île-de-France,48.8534,2.3488
107,11218117,2016-02-12,House,Paris,Île-de-France,FR,France,48.87394506737373,2.3811542987192067,75019,"48.87394506737373, 2.3811542987192067",2016.0,Paris 19,Île-de-France,48.8817,2.3822
108,11745737,2015-04-20,Loft,Paris,Île-de-France,FR,France,48.886288130833854,2.367390861298807,75019,"48.886288130833854, 2.367390861298807",2015.0,Paris,Île-de-France,48.8534,2.3488
109,11745737,2015-04-20,Loft,Paris,Île-de-France,FR,France,48.886288130833854,2.367390861298807,75019,"48.886288130833854, 2.367390861298807",2015.0,Paris 19,Île-de-France,48.8817,2.3822
110,344775,2012-02-14,House,Paris,Île-de-France,FR,France,48.87501708271194,2.385931340420771,75019,"48.87501708271194, 2.385931340420771",2012.0,Paris,Île-de-France,48.8534,2.3488
111,344775,2012-02-14,House,Paris,Île-de-France,FR,France,48.87501708271194,2.385931340420771,75019,"48.87501708271194, 2.385931340420771",2012.0,Paris 19,Île-de-France,48.8817,2.3822
